Width,Height,Elongation,Roundness,Complexity,Label
0.486,0.19854721549636803,0.11983400920770235,0.6500258814693913,0.10226461961260999,car
0.452,0.1162227602905569,0.19177972362857756,0.5090477388252478,0.06376344370160927,fish
0.318,0.3486682808716707,0.0038145072318882204,0.8680547451438534,0.08707026398541341,house
0.296,0.6053268765133172,0.06280754547964038,0.7935866507746455,0.07409560552810295,tree
0.394,0.2857142857142857,0.03588463049407669,0.7973030140684445,0.06194012102634569,bicycle
0.426,0.4745762711864407,0.13627753151133715,0.5703096975301845,0.16113944454720822,guitar
0.162,0.5956416464891041,0.7944669125620316,0.07119655548242695,0.04875406283856988,pencil
0.444,0.4794188861985472,0.0071543381406403836,0.970546248294593,0.09803662500330312,clock
0.49,0.22276029055690072,0.10109273405206384,0.7039463304236333,0.10924081071796633,car
0.382,0.13075060532687652,0.13443661039658014,0.60666630765829,0.05314060724572576,fish
0.36,0.37530266343825663,0.0044008399895971145,0.8225210342582443,0.10184182015167931,house
0.438,0.6513317191283293,0.019566301428200525,0.8770313251326236,0.10186824511798748,tree
0.462,0.29782082324455206,0.05689637317238855,0.7934409594403907,0.07988267314959173,bicycle
0.452,0.5108958837772397,0.14558372730798308,0.5527134824870596,0.17971619586185028,guitar
0.324,0.48426150121065376,0.4399552655761685,0.20154228938194826,0.0538540813360463,pencil
0.378,0.43825665859564167,0.00039033254149836483,0.9770375380422296,0.08358216843273525,clock
0.478,0.2711864406779661,0.07183987215913225,0.7888299796924597,0.10710038844700473,car
0.288,0.13559322033898305,0.08146331001098195,0.7029523706637737,0.05372195650450546,fish
0.426,0.39709443099273606,0.016966177623965354,0.8048758654901288,0.1275004624369104,house
0.61,0.7094430992736077,0.0028297299390770275,0.8178074301311868,0.22226039161800068,tree
0.288,0.28329297820823246,0.013351801913929219,0.817670973515388,0.06254789525143356,bicycle
0.154,0.45278450363196127,0.12198530622773075,0.6597783535418869,0.09177390798826732,guitar
0.036,0.5254237288135594,0.48245102129198064,0.1773455017134434,0.06902201199693471,pencil
0.222,0.25907990314769974,0.00459049070168004,0.9568721640881377,0.049229712232116904,clock
0.466,0.29782082324455206,0.058085046364040556,0.7882950027972557,0.14705493750495469,car
0.444,0.17675544794188863,0.117782844397132,0.5404288882086894,0.10929366065058267,fish
0.484,0.5738498789346247,0.0024226101606459483,0.867020416544043,0.13785904922971223,house
0.47,0.5472154963680388,0.0005807299104737652,0.9189210283867916,0.10030917210580556,tree
0.438,0.3704600484261501,0.030745091933024667,0.7525782556480232,0.16682081230346432,bicycle
0.58,0.24939467312348668,0.11177731743999283,0.5407841097237911,0.09798377507068678,guitar
0.044,0.2711864406779661,0.3123904309905833,0.3569479911056843,0.011204185714663214,pencil
0.674,0.7820823244552058,0.0016109678302302572,0.9717240164103339,0.32280738842057977,clock
0.458,0.3704600484261501,0.03869005418438354,0.8823594802667362,0.06598314087149539,car
0.34,0.2009685230024213,0.0593377837726996,0.7848872642088065,0.03831620114684354,fish
0.486,0.5980629539951574,0.010945015164588356,0.8876663747462468,0.15358190418307216,house
0.586,0.6755447941888619,0.009108031573771427,0.8656559829551744,0.12245329387205031,tree
0.328,0.23728813559322035,0.0037394734880256447,0.8398318502101138,0.09272520677536136,bicycle
0.204,0.6900726392251816,0.12783872843673483,0.5581168500236046,0.17797214808551118,guitar
0.056,0.7142857142857143,0.50060196095514,0.1999918301915315,0.06088312237401897,pencil
0.658,0.7094430992736077,0.015069942479472158,0.7917897257601826,0.2161562244008139,clock
0.34,0.13559322033898305,0.11024197004676009,0.6519261153390895,0.06701371455751394,car
0.412,0.15738498789346247,0.13184704295597435,0.5890051282650198,0.06215152075681103,fish
0.634,0.5980629539951574,0.018579828975322236,0.8213440482426057,0.1904183072166583,house
0.584,0.7893462469733656,0.019667127732231712,0.8374529405751145,0.18904420896863355,tree
0.398,0.30024213075060535,0.036165608318212854,0.7813343601135767,0.13215125650714796,bicycle
0.266,0.8668280871670703,0.12398428539620589,0.5206521251312295,0.23800967153766878,guitar
0.564,0.009685230024213076,0.8686551081225341,0.0657243234901364,0.05528102951668737,pencil
0.512,0.5932203389830508,0.0040622726734284844,0.97891753904909,0.282879264328938,clock
0.588,0.3099273607748184,0.0843087483517086,0.7546872027913955,0.1589990222762466,car
0.608,0.3946731234866828,0.059723987070200366,0.787708231955349,0.12308749306344634,fish
0.582,0.7409200968523002,0.005490849736462065,0.8265793052378807,0.24052004333694474,house
0.56,0.9176755447941889,0.04505890070044846,0.8088604851201288,0.5770419892714637,tree
0.498,0.4891041162227603,0.019187869363192053,0.887417814200973,0.17057315751922417,bicycle
0.608,0.6198547215496368,0.17263658129051226,0.49165675097162437,0.23351742726528024,guitar
0.502,0.6973365617433414,0.6858470617423533,0.12327444671332216,0.09779880030652961,pencil
0.428,0.5157384987893463,0.0020772479599739197,0.9585567493000791,0.08704383901910526,clock
0.62,0.31234866828087166,0.0917209401355324,0.7304934962070844,0.1316227571809846,car
0.33,0.22518159806295399,0.055842172201390906,0.7493596244838189,0.05549242924715271,fish
0.256,0.5690072639225182,0.060125273850771516,0.6144336014600722,0.11505430330576329,house
0.318,0.5254237288135594,0.03626932092269373,0.8643781536533122,0.07961842348651005,tree
0.302,0.26150121065375304,0.031126287663994227,0.8340132635092765,0.071426683930978,bicycle
0.276,0.6464891041162227,0.17520169150503725,0.47126241569172345,0.14229844356948446,guitar
0.236,0.6222760290556901,0.5115466226729328,0.188169548883741,0.05541315434822821,pencil
0.38,0.44552058111380144,0.010976430734153476,0.9878070329041482,0.11608487699178184,clock
0.646,0.44552058111380144,0.052191901969869565,0.819954235828108,0.14673783790925665,car
0.286,0.559322033898305,0.0474231295575742,0.8222830725170792,0.13138493248421107,fish
0.344,0.5714285714285714,0.034531547654214484,0.8166589684096031,0.1347409032053484,house
0.456,0.6343825665859564,0.010538349080224756,0.8658490409700649,0.11365378009143039,tree
0.416,0.17433414043583534,0.10812622275864214,0.6613259101790299,0.059139074597679885,bicycle
0.296,0.6222760290556901,0.05220437210664149,0.7718605054747851,0.15770419892714638,guitar
0.128,0.576271186440678,0.2283967484828275,0.4548542700977972,0.10049414686996275,pencil
0.254,0.36319612590799033,0.019330854999533503,0.9397685545602201,0.07129455909943715,clock
0.5,0.1791767554479419,0.1390618171890182,0.5454277340211456,0.09740242581190708,car
0.156,0.07506053268765134,0.07444274663253622,0.6761763981094844,0.008773088814311762,fish
0.248,0.2857142857142857,0.001028329237638532,0.8314552109005663,0.06281214491451523,house
0.266,0.34382566585956414,0.002746194948837691,0.8770293558769179,0.045715191713130564,tree
0.374,0.28087167070217917,0.03598385955715466,0.7968375174166132,0.08902571149221784,bicycle
0.202,0.2566585956416465,0.008166957791350439,0.9801741683920538,0.0566551277647121,clock
0.628,0.4721549636803874,0.04778181569875887,0.8605981220079947,0.17168300610416723,car
0.464,0.5036319612590799,0.11108753546664828,0.6275980436237759,0.1509129825859472,fish
0.462,0.6150121065375302,0.0022621545018655428,0.8979339224977065,0.1623021430647676,house
0.516,0.7772397094430993,0.026388398197972472,0.9112770412551991,0.19456702692704067,tree
0.622,0.5278450363196125,0.03983127287649527,0.8363691100901636,0.23169410459001666,bicycle
0.534,0.7021791767554479,0.12329231081517912,0.5560676581551709,0.20629971196786723,guitar
0.46,0.6343825665859564,0.49942866817242293,0.1875639065564571,0.07441270512380097,pencil
0.334,0.4576271186440678,0.01216472351317011,0.9600870811121754,0.1746690272969902,clock
0.504,0.23728813559322035,0.10708921798557032,0.6252406663722359,0.12670771344766535,car
0.508,0.09927360774818401,0.29366732904614545,0.36637573727395145,0.05377480643712179,fish
0.566,0.6537530266343826,0.0029064192522722547,0.8408429759623075,0.20175461776286235,house
0.484,0.7409200968523002,0.016618696196470186,0.8514457082098055,0.1427476679967233,tree
0.372,0.24213075060532688,0.05155856444553179,0.8128609720288339,0.09645112702481304,bicycle
0.706,0.6198547215496368,0.12099035119375748,0.6321011697119073,0.33948154216103377,guitar
0.362,0.4188861985472155,0.4101708390171298,0.237761214317353,0.05343128187511561,pencil
0.41,0.6150121065375302,0.020177189837454007,0.7908924117755208,0.35034220331369076,clock
0.646,0.3099273607748184,0.10008631497739676,0.6674747833744339,0.14615648865047698,car
0.558,0.31234866828087166,0.07214805361930435,0.6887714943056894,0.09941072325132785,fish
0.63,0.5108958837772397,0.04164418823241045,0.8480770640915173,0.18640171233781677,house
0.484,0.7893462469733656,0.024275691202219164,0.8385934658064914,0.2294215574875142,tree
0.566,0.576271186440678,0.010306537518126341,0.8008609339360486,0.14964458420315513,bicycle
